timestamp,value
2015-12-07T03:13:00Z,4.7166
2015-12-07T03:14:00Z,4.7956
2015-12-07T03:15:00Z,4.872
2015-12-07T03:16:00Z,4.9408
2015-12-07T03:17:00Z,4.9971
2015-12-07T03:18:00Z,5.0375
2015-12-07T03:19:00Z,5.0598
2015-12-07T03:20:00Z,5.0622
2015-12-07T03:21:00Z,5.0428
2015-12-07T03:22:00Z,5.0022
2015-12-07T03:23:00Z,4.9464
2015-12-07T03:24:00Z,4.8819
2015-12-07T03:25:00Z,4.8151
2015-12-07T03:26:00Z,4.7512
2015-12-07T03:27:00Z,4.6924
2015-12-07T03:28:00Z,4.6398
2015-12-07T03:29:00Z,4.595
2015-12-07T03:30:00Z,4.5583
2015-12-07T03:31:00Z,4.5258
2015-12-07T03:32:00Z,4.4919
2015-12-07T03:33:00Z,4.4513
2015-12-07T03:34:00Z,4.3989
2015-12-07T03:35:00Z,4.3341
2015-12-07T03:36:00Z,4.2584
2015-12-07T03:37:00Z,4.1736
2015-12-07T03:38:00Z,4.0817
2015-12-07T03:39:00Z,3.9858
2015-12-07T03:40:00Z,3.8908
2015-12-07T03:41:00Z,3.8015
2015-12-07T03:42:00Z,3.7228
2015-12-07T03:43:00Z,3.6565
2015-12-07T03:44:00Z,3.6009
2015-12-07T03:45:00Z,3.5538
2015-12-07T03:46:00Z,3.5131
2015-12-07T03:47:00Z,3.4763
2015-12-07T03:48:00Z,3.4413
2015-12-07T03:49:00Z,3.4057
2015-12-07T03:50:00Z,3.3671
2015-12-07T03:51:00Z,3.3244
2015-12-07T03:52:00Z,3.2816
2015-12-07T03:53:00Z,3.2441
2015-12-07T03:54:00Z,3.2172
2015-12-07T03:55:00Z,3.2058
2015-12-07T03:56:00Z,3.2112
2015-12-07T03:57:00Z,3.2332
2015-12-07T03:58:00Z,3.2718
2015-12-07T03:59:00Z,3.3265
2015-12-07T04:00:00Z,3.3946
2015-12-07T04:01:00Z,3.4712
2015-12-07T04:02:00Z,3.5518
2015-12-07T04:03:00Z,3.6317
2015-12-07T04:04:00Z,3.7088
2015-12-07T04:05:00Z,3.7841
2015-12-07T04:06:00Z,3.8585
2015-12-07T04:07:00Z,3.9332
2015-12-07T04:08:00Z,4.0102
2015-12-07T04:09:00Z,4.0933
2015-12-07T04:10:00Z,4.1868
2015-12-07T04:11:00Z,4.2946
2015-12-07T04:12:00Z,4.4177
2015-12-07T04:13:00Z,4.5469
2015-12-07T04:14:00Z,4.6709
2015-12-07T04:15:00Z,4.7785
2015-12-07T04:16:00Z,4.8611
2015-12-07T04:17:00Z,4.9243
2015-12-07T04:18:00Z,4.9782
2015-12-07T04:19:00Z,5.0332
2015-12-07T04:20:00Z,5.0983
2015-12-07T04:21:00Z,5.1729
2015-12-07T04:22:00Z,5.2506
2015-12-07T04:23:00Z,5.3248
2015-12-07T04:24:00Z,5.3894
2015-12-07T04:25:00Z,5.441
2015-12-07T04:26:00Z,5.4788
2015-12-07T04:27:00Z,5.5021
2015-12-07T04:28:00Z,5.5106
2015-12-07T04:29:00Z,5.5072
2015-12-07T04:30:00Z,5.5005
2015-12-07T04:31:00Z,5.4995
2015-12-07T04:32:00Z,5.5131
2015-12-07T04:33:00Z,5.5451
2015-12-07T04:34:00Z,5.5874
2015-12-07T04:35:00Z,5.6297
2015-12-07T04:36:00Z,5.6621
2015-12-07T04:37:00Z,5.6771
2015-12-07T04:38:00Z,5.6782
2015-12-07T04:39:00Z,5.6715
2015-12-07T04:40:00Z,5.6635
2015-12-07T04:41:00Z,5.6601
2015-12-07T04:42:00Z,5.6659
2015-12-07T04:43:00Z,5.6847
2015-12-07T04:44:00Z,5.7204
2015-12-07T04:45:00Z,5.7761
2015-12-07T04:46:00Z,5.8442
2015-12-07T04:47:00Z,5.9094
2015-12-07T04:48:00Z,5.9561
2015-12-07T04:49:00Z,5.9696
2015-12-07T04:50:00Z,5.9537
2015-12-07T04:51:00Z,5.9337
2015-12-07T04:52:00Z,5.9364
2015-12-07T04:53:00Z,5.9882
2015-12-07T04:54:00Z,6.1005
2015-12-07T04:55:00Z,6.2565
2015-12-07T04:56:00Z,6.4366
2015-12-07T04:57:00Z,6.6208
2015-12-07T04:58:00Z,6.7913
2015-12-07T04:59:00Z,6.9369
2015-12-07T05:00:00Z,7.0474
2015-12-07T05:01:00Z,7.1125
2015-12-07T05:02:00Z,7.1266
2015-12-07T05:03:00Z,7.1072
2015-12-07T05:04:00Z,7.0797
2015-12-07T05:05:00Z,7.0698
2015-12-07T05:06:00Z,7.0995
2015-12-07T05:07:00Z,7.159
2015-12-07T05:08:00Z,7.2201
2015-12-07T05:09:00Z,7.2547
2015-12-07T05:10:00Z,7.2357
2015-12-07T05:11:00Z,7.1592
2015-12-07T05:12:00Z,7.0425
2015-12-07T05:13:00Z,6.9034
2015-12-07T05:14:00Z,6.7599
2015-12-07T05:15:00Z,6.6228
2015-12-07T05:16:00Z,6.4931
2015-12-07T05:17:00Z,6.3705
2015-12-07T05:18:00Z,6.2552
2015-12-07T05:19:00Z,6.1459
2015-12-07T05:20:00Z,6.0391
2015-12-07T05:21:00Z,5.9306
2015-12-07T05:22:00Z,5.8166
2015-12-07T05:23:00Z,5.6951
2015-12-07T05:24:00Z,5.5737
2015-12-07T05:25:00Z,5.4623
2015-12-07T05:26:00Z,5.3707
2015-12-07T05:27:00Z,5.3072
2015-12-07T05:28:00Z,5.2669
2015-12-07T05:29:00Z,5.2393
2015-12-07T05:30:00Z,5.2142
2015-12-07T05:31:00Z,5.1813
2015-12-07T05:32:00Z,5.1369
2015-12-07T05:33:00Z,5.0813
2015-12-07T05:34:00Z,5.015
2015-12-07T05:35:00Z,4.9385
2015-12-07T05:36:00Z,4.853
2015-12-07T05:37:00Z,4.7608
2015-12-07T05:38:00Z,4.6641
2015-12-07T05:39:00Z,4.565
2015-12-07T05:40:00Z,4.4662
2015-12-07T05:41:00Z,4.3708
2015-12-07T05:42:00Z,4.2818
2015-12-07T05:43:00Z,4.2026
2015-12-07T05:44:00Z,4.135
2015-12-07T05:45:00Z,4.0775
2015-12-07T05:46:00Z,4.0277
2015-12-07T05:47:00Z,3.9832
2015-12-07T05:48:00Z,3.9428
2015-12-07T05:49:00Z,3.9108
2015-12-07T05:50:00Z,3.8934
2015-12-07T05:51:00Z,3.8968
2015-12-07T05:52:00Z,3.9267
2015-12-07T05:53:00Z,3.9826
2015-12-07T05:54:00Z,4.061
2015-12-07T05:55:00Z,4.158
2015-12-07T05:56:00Z,4.2697
2015-12-07T05:57:00Z,4.3891
2015-12-07T05:58:00Z,4.5062
2015-12-07T05:59:00Z,4.611
2015-12-07T06:00:00Z,4.6937
2015-12-07T06:01:00Z,4.7572
2015-12-07T06:02:00Z,4.8229
2015-12-07T06:03:00Z,4.9138
2015-12-07T06:04:00Z,5.0527
2015-12-07T06:05:00Z,5.2466
2015-12-07T06:06:00Z,5.4633
2015-12-07T06:07:00Z,5.6651
2015-12-07T06:08:00Z,5.8141
2015-12-07T06:09:00Z,5.8821
2015-12-07T06:10:00Z,5.8804
2015-12-07T06:11:00Z,5.8307
2015-12-07T06:12:00Z,5.7548
2015-12-07T06:13:00Z,5.6726
2015-12-07T06:14:00Z,5.5927
2015-12-07T06:15:00Z,5.5187
2015-12-07T06:16:00Z,5.454
2015-12-07T06:17:00Z,5.4017
2015-12-07T06:18:00Z,5.3608
2015-12-07T06:19:00Z,5.3272
2015-12-07T06:20:00Z,5.2968
2015-12-07T06:21:00Z,5.2655
2015-12-07T06:22:00Z,5.2314
2015-12-07T06:23:00Z,5.1947
2015-12-07T06:24:00Z,5.1561
2015-12-07T06:25:00Z,5.1162
2015-12-07T06:26:00Z,5.0759
2015-12-07T06:27:00Z,5.0371
2015-12-07T06:28:00Z,5.0016
2015-12-07T06:29:00Z,4.9715
2015-12-07T06:30:00Z,4.9479
2015-12-07T06:31:00Z,4.9292
2015-12-07T06:32:00Z,4.9134
2015-12-07T06:33:00Z,4.8987
2015-12-07T06:34:00Z,4.8839
2015-12-07T06:35:00Z,4.8733
2015-12-07T06:36:00Z,4.873
2015-12-07T06:37:00Z,4.8888
2015-12-07T06:38:00Z,4.9256
2015-12-07T06:39:00Z,4.9749
2015-12-07T06:40:00Z,5.0212
2015-12-07T06:41:00Z,5.0484
2015-12-07T06:42:00Z,5.0435
2015-12-07T06:43:00Z,5.0455
2015-12-07T06:44:00Z,5.1411
2015-12-07T06:45:00Z,5.419
2015-12-07T06:46:00Z,5.9662
2015-12-07T06:47:00Z,6.7801
2015-12-07T06:48:00Z,7.7265
2015-12-07T06:49:00Z,8.6599
2015-12-07T06:50:00Z,9.4356
2015-12-07T06:51:00Z,9.9608
2015-12-07T06:52:00Z,10.2711
2015-12-07T06:53:00Z,10.4208
2015-12-07T06:54:00Z,10.4645
2015-12-07T06:55:00Z,10.4636
2015-12-07T06:56:00Z,10.5095
2015-12-07T06:57:00Z,10.701
2015-12-07T06:58:00Z,11.1371
2015-12-07T06:59:00Z,11.892
2015-12-07T07:00:00Z,12.8593
2015-12-07T07:01:00Z,13.853
2015-12-07T07:02:00Z,14.6867
2015-12-07T07:03:00Z,15.1866
2015-12-07T07:04:00Z,15.3535
2015-12-07T07:05:00Z,15.3146
2015-12-07T07:06:00Z,15.1997
2015-12-07T07:07:00Z,15.1361
2015-12-07T07:08:00Z,15.177
2015-12-07T07:09:00Z,15.2881
2015-12-07T07:10:00Z,15.4305
2015-12-07T07:11:00Z,15.5653
2015-12-07T07:12:00Z,15.6685
2015-12-07T07:13:00Z,15.7442
2015-12-07T07:14:00Z,15.7997
2015-12-07T07:15:00Z,15.8422
2015-12-07T07:16:00Z,15.8782
2015-12-07T07:17:00Z,15.912
2015-12-07T07:18:00Z,15.9472
2015-12-07T07:19:00Z,15.9876
2015-12-07T07:20:00Z,16.0354
2015-12-07T07:21:00Z,16.0847
2015-12-07T07:22:00Z,16.1268
2015-12-07T07:23:00Z,16.1529
2015-12-07T07:24:00Z,16.1547
2015-12-07T07:25:00Z,16.1283
2015-12-07T07:26:00Z,16.0721
2015-12-07T07:27:00Z,15.9848
2015-12-07T07:28:00Z,15.8654
2015-12-07T07:29:00Z,15.7233
2015-12-07T07:30:00Z,15.5775
2015-12-07T07:31:00Z,15.4473
2015-12-07T07:32:00Z,15.3518
2015-12-07T07:33:00Z,15.3028
2015-12-07T07:34:00Z,15.3008
2015-12-07T07:35:00Z,15.3456
2015-12-07T07:36:00Z,15.4369
2015-12-07T07:37:00Z,15.5708
2015-12-07T07:38:00Z,15.735
2015-12-07T07:39:00Z,15.916
2015-12-07T07:40:00Z,16.1002
2015-12-07T07:41:00Z,16.2749
2015-12-07T07:42:00Z,16.432
2015-12-07T07:43:00Z,16.5645
2015-12-07T07:44:00Z,16.6654
2015-12-07T07:45:00Z,16.7314
2015-12-07T07:46:00Z,16.7868
2015-12-07T07:47:00Z,16.8679
2015-12-07T07:48:00Z,17.0111
2015-12-07T07:49:00Z,17.2493
2015-12-07T07:50:00Z,17.5657
2015-12-07T07:51:00Z,17.9075
2015-12-07T07:52:00Z,18.221
2015-12-07T07:53:00Z,18.4538
2015-12-07T07:54:00Z,18.59
2015-12-07T07:55:00Z,18.6569
2015-12-07T07:56:00Z,18.684
2015-12-07T07:57:00Z,18.7008
2015-12-07T07:58:00Z,18.7254
2015-12-07T07:59:00Z,18.754
2015-12-07T08:00:00Z,18.7805
2015-12-07T08:01:00Z,18.7989
2015-12-07T08:02:00Z,18.8044
2015-12-07T08:03:00Z,18.7974
2015-12-07T08:04:00Z,18.779
2015-12-07T08:05:00Z,18.7505
2015-12-07T08:06:00Z,18.7135
2015-12-07T08:07:00Z,18.6725
2015-12-07T08:08:00Z,18.6332
2015-12-07T08:09:00Z,18.601
2015-12-07T08:10:00Z,18.5814
2015-12-07T08:11:00Z,18.5789
2015-12-07T08:12:00Z,18.5972
2015-12-07T08:13:00Z,18.6404
2015-12-07T08:14:00Z,18.7118
2015-12-07T08:15:00Z,18.8056
2015-12-07T08:16:00Z,18.9073
2015-12-07T08:17:00Z,19.002
2015-12-07T08:18:00Z,19.0752
2015-12-07T08:19:00Z,19.1272
2015-12-07T08:20:00Z,19.1801
2015-12-07T08:21:00Z,19.2578
2015-12-07T08:22:00Z,19.3844
2015-12-07T08:23:00Z,19.5678
2015-12-07T08:24:00Z,19.7767
2015-12-07T08:25:00Z,19.974
2015-12-07T08:26:00Z,20.1225
2015-12-07T08:27:00Z,20.2056
2015-12-07T08:28:00Z,20.2941
2015-12-07T08:29:00Z,20.4811
2015-12-07T08:30:00Z,20.8601
2015-12-07T08:31:00Z,21.5045
2015-12-07T08:32:00Z,22.342
2015-12-07T08:33:00Z,23.2355
2015-12-07T08:34:00Z,24.0476
2015-12-07T08:35:00Z,24.6496
2015-12-07T08:36:00Z,25.0355
2015-12-07T08:37:00Z,25.2884
2015-12-07T08:38:00Z,25.4937
2015-12-07T08:39:00Z,25.7354
2015-12-07T08:40:00Z,26.0637
2015-12-07T08:41:00Z,26.4883
2015-12-07T08:42:00Z,27.0167
2015-12-07T08:43:00Z,27.6563
2015-12-07T08:44:00Z,28.3838
2015-12-07T08:45:00Z,29.1177
2015-12-07T08:46:00Z,29.7701
2015-12-07T08:47:00Z,30.2527
2015-12-07T08:48:00Z,30.5095
2015-12-07T08:49:00Z,30.5862
2015-12-07T08:50:00Z,30.5488
2015-12-07T08:51:00Z,30.4634
2015-12-07T08:52:00Z,30.3874
2015-12-07T08:53:00Z,30.3296
2015-12-07T08:54:00Z,30.2824
2015-12-07T08:55:00Z,30.238
